id,age,gender,income,loan_amount,credit_score,ethnicity,residence,loan_approved
70,19,M,28311,29091,320,B,suburban,0
71,23,M,45531,5511,581,D,suburban,1
72,59,M,29588,42850,839,D,suburban,1
73,21,F,64416,21636,716,C,suburban,1
74,46,M,27380,25517,584,D,rural,1
75,35,M,57645,36786,831,B,rural,1
76,43,F,32818,13820,831,A,suburban,1
77,61,M,45857,41244,810,A,rural,1
78,51,F,36711,14178,695,D,rural,1
79,27,M,20097,6725,419,A,urban,1
80,53,F,43393,23477,396,B,rural,1
81,31,M,37076,39469,419,D,urban,1
82,48,M,99274,13496,836,A,urban,1
83,65,M,72609,17270,452,D,suburban,1
84,32,M,44317,15472,544,D,suburban,1
85,25,M,119765,25724,815,D,suburban,1
86,31,F,73480,35416,692,A,suburban,1
87,40,F,22044,40575,442,B,urban,1
88,57,F,86033,20654,803,D,rural,1
89,38,F,70486,16078,519,A,urban,1
90,33,M,70162,33030,459,B,rural,1
91,62,M,94287,12572,375,C,urban,1
92,35,M,44882,22408,910,A,suburban,1
93,64,M,69078,24359,991,D,urban,1
94,41,F,73734,13698,938,C,suburban,1
95,43,F,58826,9856,331,A,urban,1
96,42,M,102985,32527,633,A,urban,1
97,62,M,59028,44492,824,A,urban,1
98,58,F,66331,14245,739,A,suburban,1
99,46,F,113938,48634,651,C,rural,1
100,32,M,47543,47864,638,A,urban,1
101,62,F,44362,33946,699,B,suburban,1
102,18,F,42315,42355,695,D,suburban,1
103,42,M,42746,42690,501,B,urban,1
104,24,M,25057,42814,829,A,urban,1
105,26,F,57915,36645,392,D,urban,1
106,41,F,36061,24278,657,A,urban,1
107,18,F,66370,12203,695,D,urban,1
108,61,M,49157,26658,359,C,urban,1
109,25,M,26322,47596,776,C,urban,1
110,41,F,84812,20797,911,C,rural,1
111,28,F,92842,37806,300,B,rural,1
112,68,M,49017,35958,854,D,suburban,1
113,34,F,71792,11265,610,D,suburban,1
114,25,F,42742,11598,467,B,urban,1
115,52,F,112136,40183,491,B,urban,1
116,52,F,79808,22142,333,D,urban,1
117,50,F,32629,31998,333,B,suburban,1
118,22,M,23245,30890,987,D,rural,1
119,59,F,111950,33878,716,C,urban,1
120,56,M,58870,19306,457,B,urban,1
121,58,F,110634,16885,799,A,suburban,1
122,45,M,79829,49145,665,A,rural,1
123,24,F,25588,48826,639,B,urban,1
124,26,M,15442,12443,634,B,urban,1
125,25,M,117979,36839,882,C,rural,1
126,29,M,92339,22084,626,C,urban,1
127,51,M,55721,28911,413,C,suburban,1
128,50,F,52145,9383,717,D,rural,1
129,65,F,25599,31777,767,A,rural,1
130,40,F,87594,39361,442,C,urban,1
131,41,M,97742,19758,908,A,urban,1
132,54,M,92430,34521,608,B,urban,1
133,52,M,17939,25529,700,A,suburban,1
134,61,M,37149,28091,619,B,suburban,1
135,57,F,81567,44794,511,B,rural,1
136,39,M,25208,36381,616,A,suburban,1
137,44,M,81098,40380,484,B,suburban,1
138,52,M,64492,35932,504,D,urban,1
139,18,M,35951,49097,663,A,urban,1
140,52,F,63920,6908,515,C,urban,1
141,54,F,61766,44722,545,B,urban,1
142,64,M,72014,35358,538,B,rural,1
143,31,M,43351,35412,690,A,suburban,1
144,20,M,99216,23174,819,A,urban,1
145,18,M,64386,20496,889,C,urban,1
146,22,M,102122,7928,576,A,urban,1
147,43,F,24308,35632,501,A,urban,1
148,31,F,74252,37309,513,B,rural,1
149,56,F,90145,14280,905,B,rural,1
150,44,M,110031,45449,777,C,urban,1
151,26,M,98211,26635,807,B,suburban,1
152,32,F,43064,31957,374,B,urban,1
153,32,F,68879,41895,968,B,urban,1
154,43,F,23720,9963,964,A,suburban,1
155,59,M,57940,32521,441,B,urban,1
156,30,F,94993,37615,889,B,urban,1
157,68,M,83475,49529,621,B,urban,1
158,49,F,62113,26695,993,C,urban,1
159,56,F,63926,14357,760,C,urban,1
160,66,F,53203,30176,969,A,urban,1
161,69,M,103901,23409,445,A,urban,1
162,49,F,20392,5987,353,B,suburban,1
163,21,M,40905,6965,655,C,urban,1
164,47,M,88508,45084,576,A,urban,1
165,54,M,65385,36318,894,D,urban,1
166,40,F,45653,31015,699,B,rural,1
167,56,M,106865,34191,967,B,urban,1
168,62,M,99720,5868,815,C,rural,1
169,32,F,29799,42146,798,A,urban,1
170,60,M,75103,34032,610,B,rural,1
171,46,F,30052,33305,570,B,urban,1
172,53,M,21044,27640,875,A,urban,1
173,30,M,34871,23318,748,D,suburban,1
174,49,F,104303,18246,411,C,suburban,1
175,24,M,35234,38844,538,A,suburban,1
176,68,M,36381,37602,443,B,urban,1
177,39,F,32274,26584,673,A,urban,1
178,45,F,102840,20169,319,D,suburban,1
179,19,F,98108,30968,875,B,rural,1
180,59,M,118948,11385,588,B,rural,1
181,62,M,64892,13222,892,B,suburban,1
182,23,F,65521,30444,496,B,urban,1
183,45,F,106501,43248,681,C,urban,1
184,45,F,98920,45545,880,C,rural,1
185,61,F,98391,10362,997,B,rural,1
186,61,F,32920,38718,978,C,rural,1
187,37,M,31702,13250,791,B,suburban,1
188,47,M,118457,7818,463,A,rural,1
189,28,F,16894,41368,905,A,rural,1
190,45,M,45985,49109,548,B,suburban,1
191,42,M,43287,20053,367,C,suburban,1
192,56,F,88527,32426,320,D,urban,1
193,50,F,30439,44023,811,A,suburban,1
194,18,M,109620,29892,896,B,rural,1
195,44,M,57235,48675,689,A,urban,1
196,69,M,42659,34361,835,D,suburban,1
197,30,F,39976,21007,410,D,urban,1
198,58,F,119239,19241,894,A,rural,1
199,20,M,97643,49858,759,C,suburban,1
200,56,M,82865,28902,377,C,rural,1
201,23,F,83306,29506,733,A,suburban,1
202,25,M,71697,22562,679,B,urban,1
203,44,F,85382,25239,951,C,urban,1
204,26,F,31651,18065,739,A,suburban,1
205,54,M,64044,46291,638,B,urban,1
206,50,F,29633,43805,723,A,suburban,0
207,68,M,94164,38295,468,B,urban,1
208,59,M,15569,23443,561,D,rural,1
209,61,F,74900,14290,878,B,urban,1
210,41,M,82509,5211,528,A,rural,1
211,32,F,116126,23098,460,A,suburban,1
212,49,F,48038,24072,726,C,urban,1
213,49,M,64088,48290,421,B,suburban,1
214,41,M,88177,24650,448,B,rural,1
215,58,M,89466,20115,410,A,suburban,1
216,69,M,87216,10149,956,C,urban,1
217,66,M,81793,46992,520,D,rural,1
218,66,M,88786,22716,363,D,urban,1
219,69,M,53138,37188,937,B,urban,1
220,29,F,78310,18621,653,C,suburban,1
221,56,F,43757,11820,773,A,urban,1
222,19,F,85394,47800,784,C,suburban,1
223,20,M,94027,35399,312,A,suburban,1
224,66,M,105830,19002,452,C,suburban,1
225,54,F,71151,48098,538,B,urban,1
226,66,M,64272,33750,489,D,suburban,1
227,34,M,21908,31074,962,C,suburban,1
228,66,F,25844,22310,385,B,suburban,1
229,19,F,66455,22006,320,D,rural,1
230,19,F,118165,14671,993,A,urban,1
231,45,M,83447,49345,618,D,suburban,1
232,40,F,89527,32894,457,C,suburban,1
233,54,F,92108,31193,780,D,suburban,1
234,49,F,58066,15222,375,A,suburban,1
235,50,F,110229,28786,628,A,urban,1
236,18,F,55004,36509,715,C,urban,1
237,36,F,53333,5386,502,D,suburban,1
238,19,M,98029,6634,528,A,urban,1
239,61,F,54697,45878,451,A,urban,1
240,43,F,32634,9133,371,A,suburban,1
241,49,F,39561,47144,524,D,rural,1
242,23,M,33033,43349,772,C,urban,1
243,49,M,87887,39735,942,B,rural,1
244,21,F,70063,26952,659,A,urban,1
245,28,F,40921,29816,839,B,suburban,1
246,34,F,34340,26529,908,A,suburban,1
247,55,F,77781,10767,345,C,urban,1
248,41,F,29901,46521,300,B,rural,1
249,22,F,25638,23383,977,C,urban,1
250,69,F,53596,9901,544,D,urban,1
251,51,F,101914,47889,518,B,suburban,1
252,23,F,59324,19633,913,B,suburban,1
253,39,M,103356,24163,590,C,rural,1
254,28,M,105596,15707,757,A,urban,1
255,65,F,47642,27576,503,D,urban,1
256,33,M,40378,23061,501,A,urban,1
257,50,M,65867,49706,865,D,suburban,1
258,26,M,88686,16548,781,A,suburban,1
259,23,M,57875,20115,810,A,rural,1
260,33,M,104595,14843,577,B,suburban,1
261,46,M,115061,41945,315,D,rural,1
262,20,F,98729,44979,824,D,rural,1
263,37,F,79377,45641,655,A,urban,1
264,53,M,69691,8841,655,A,urban,1
265,36,M,108337,11416,898,B,urban,1
266,43,F,79303,15633,377,B,urban,1
267,20,M,75839,42653,366,C,suburban,1
268,36,F,64063,5594,513,B,urban,1
269,37,F,106782,19393,996,C,urban,1
270,49,F,93343,40380,748,C,urban,1
271,24,M,98071,27743,732,B,urban,1
272,69,F,20492,36971,844,D,urban,1
273,58,M,46357,9861,414,A,urban,1
274,50,F,86838,42534,719,A,urban,1
275,57,F,47314,41126,798,C,urban,1
276,56,M,63697,19846,679,A,rural,1
277,35,M,85283,31177,442,A,urban,1
278,57,M,74567,38682,931,D,rural,1
279,18,F,62006,23228,323,C,suburban,1
280,28,M,75011,39763,838,B,urban,1
281,45,F,25686,29009,374,C,suburban,0
282,42,M,52449,5094,834,B,urban,1
283,67,F,76606,46452,972,D,urban,1
284,40,F,33891,20100,340,A,suburban,1
285,48,F,67115,37917,867,C,rural,1
286,47,F,116732,22430,712,C,rural,1
287,59,M,75719,40571,714,B,suburban,1
288,52,M,110464,29974,748,C,urban,1
289,24,F,88030,36129,909,D,urban,1
290,33,M,51723,25860,957,C,suburban,1
291,43,M,44877,12276,735,B,rural,1
292,65,M,108517,5551,851,B,urban,1
293,69,M,29026,13486,538,D,rural,1
294,66,M,35422,22527,341,B,urban,1
295,19,F,24244,14745,309,C,suburban,1
296,18,M,48481,46128,564,B,rural,1
297,65,F,104180,17997,880,A,rural,1
298,29,M,73031,23330,744,A,suburban,1
299,22,F,23521,45078,438,D,urban,1
300,54,M,16746,43585,495,C,urban,1
301,49,F,98127,29829,373,A,urban,1
302,26,F,107254,48336,914,D,suburban,1
303,58,M,83232,13070,524,B,suburban,1
304,52,F,27012,6320,934,C,suburban,1
305,36,F,95224,28507,401,A,urban,1
306,65,F,38457,43921,563,D,urban,0
307,33,F,85572,11589,460,B,suburban,1
308,20,M,44960,32459,532,C,rural,1
309,37,F,117022,20589,790,A,urban,1
310,41,M,102695,41375,610,B,rural,1
311,50,M,22910,48085,950,A,urban,1
312,41,F,17693,48200,526,D,suburban,0
313,69,M,30858,38168,572,A,rural,1
314,28,F,43810,31732,616,C,urban,1
315,66,F,35092,36511,385,A,urban,1
316,25,F,103779,27426,590,A,urban,1
317,53,F,63700,35982,768,B,urban,1
318,55,M,73105,21746,877,C,suburban,1
319,57,M,45505,33514,946,C,urban,1
320,37,M,88228,8851,703,D,urban,1
321,52,M,43555,24796,726,D,suburban,1
322,65,M,86934,15498,674,A,suburban,1
323,42,M,87788,37852,866,D,urban,1
324,52,F,92257,39592,551,B,suburban,1
325,42,F,32939,49845,832,D,suburban,1
326,46,M,26825,20930,606,A,urban,1
327,35,F,105787,47881,729,D,suburban,1
328,63,M,117491,46590,974,A,rural,1
329,35,M,39151,26159,563,B,urban,1
330,19,F,15036,34536,367,A,suburban,1
331,52,F,108948,29252,406,A,rural,1
332,33,F,98707,29003,699,B,rural,1
333,58,M,54051,45186,878,D,suburban,1
334,53,F,113297,40139,498,C,suburban,1
335,50,F,95738,44836,491,A,suburban,1
336,21,F,88596,27205,813,A,suburban,1
337,50,F,75071,35523,741,B,urban,1
338,31,F,88601,49627,300,D,urban,1
339,38,F,44873,12464,657,A,urban,1
340,65,F,51648,22110,414,B,urban,0
341,37,F,86468,12121,899,A,urban,1
342,25,F,41470,14840,496,B,urban,1
343,24,M,80129,42080,903,A,rural,1
344,20,F,23328,45768,573,A,rural,1
345,34,M,21333,14461,459,A,suburban,1
346,50,M,61638,25927,472,A,rural,1
347,65,F,26268,29398,844,A,rural,1
348,29,F,85603,38086,757,C,rural,1
349,68,F,32045,20329,884,A,urban,1
350,39,M,55741,20791,732,A,urban,1
351,39,F,103306,19372,780,A,suburban,1
352,63,M,57770,32354,754,D,urban,1
353,47,F,22887,49018,495,C,rural,1
354,55,F,113718,26537,898,C,urban,1
355,55,F,112906,39370,608,B,urban,1
356,62,F,39918,30405,855,A,urban,1
357,68,F,50497,46815,793,A,suburban,1
358,25,F,108562,28703,738,B,suburban,1
359,44,M,76009,20234,949,B,suburban,1
360,44,M,26929,12532,658,D,urban,1
361,51,F,117201,45134,335,D,suburban,1
362,38,F,76762,40416,333,B,suburban,1
363,47,M,115473,11903,387,B,suburban,1
364,50,F,94099,23242,957,A,urban,1
365,45,M,43546,18788,315,A,urban,1
366,64,F,93424,40249,720,D,urban,1
367,50,F,52338,39588,852,A,suburban,1
368,22,F,49283,34513,425,D,urban,1
369,65,F,97494,48039,307,B,urban,1
370,36,M,93170,24542,771,B,urban,1
371,21,M,99787,37294,767,A,suburban,1
372,52,F,61566,8684,809,C,suburban,1
373,66,F,100464,28795,701,B,suburban,1
374,34,M,117781,8651,475,B,suburban,1
375,61,F,96991,15431,666,A,urban,1
376,45,M,107680,15131,787,A,urban,1
377,47,F,43013,29091,317,B,urban,1
378,46,F,67132,29845,355,B,urban,1
379,63,M,102412,29491,334,C,rural,1
380,23,M,107498,9830,929,C,suburban,1
381,52,F,43084,33640,872,B,suburban,1
382,58,F,36143,12334,899,C,urban,1
383,54,F,106627,14304,646,A,urban,1
384,41,F,29179,22032,331,C,urban,1
385,46,F,113343,30755,432,A,suburban,1
386,66,F,73726,5016,875,A,urban,1
387,63,F,25222,13308,498,A,urban,0
388,48,M,74965,34654,555,C,suburban,1
389,52,M,79068,44244,641,A,rural,1
390,50,M,38949,10942,966,A,urban,1
391,69,F,31116,7693,530,B,urban,1
392,38,M,66052,20562,600,A,urban,1
393,49,F,66369,11259,846,C,suburban,1
394,40,F,63817,47236,325,B,urban,1
395,50,F,118100,9942,834,D,suburban,1
396,20,M,117910,41556,952,A,suburban,1
397,35,M,98203,5371,773,A,urban,1
398,42,M,89311,32383,686,C,urban,1
399,59,M,44655,28404,584,C,urban,1
400,48,M,72802,12120,749,A,urban,1
401,20,F,62632,10702,619,B,urban,1
402,57,F,29193,13347,455,C,suburban,1
403,63,F,95212,40429,770,A,suburban,1
404,41,F,45776,44419,719,C,urban,1
405,67,M,58225,30040,412,A,suburban,1
406,49,F,75010,42646,950,D,urban,1
407,64,F,97735,42083,721,B,suburban,1
408,39,M,80451,27542,897,A,rural,1
409,40,F,63812,47733,584,B,rural,1
410,19,M,95602,13308,871,D,urban,1
411,44,F,33895,44242,353,C,suburban,1
412,59,F,80782,39142,904,B,suburban,1
413,19,M,36209,49163,624,B,urban,1
414,43,F,119820,35690,757,B,suburban,1
415,34,F,97336,12393,564,A,rural,1
416,57,F,76807,9403,681,A,urban,1
417,50,M,38086,8546,512,B,urban,1
418,26,F,100637,41745,632,B,suburban,1
419,60,M,97027,33893,309,A,urban,1
420,65,M,42207,14388,657,C,urban,1
421,56,M,35897,46756,502,B,urban,1
422,46,F,78083,41660,357,B,urban,1
423,59,F,110028,28708,793,A,urban,1
424,43,F,81957,29726,809,C,urban,1
425,52,F,112551,19008,522,C,urban,1
426,67,M,93506,41017,668,C,suburban,1
427,42,M,22283,5111,991,A,urban,1
428,41,M,109024,22545,717,B,urban,1
429,30,M,96481,45168,846,D,urban,1
430,24,M,15255,7379,402,B,urban,0
431,53,M,91555,35237,460,A,urban,1
432,62,M,30487,26810,499,C,urban,1
433,37,M,34346,46120,459,A,suburban,1
434,18,M,50050,22809,994,A,urban,1
435,25,M,23744,13469,435,A,urban,1
436,63,F,39756,32967,697,A,suburban,1
437,33,F,76596,14748,691,B,urban,1
438,31,F,98397,28424,405,A,suburban,1
439,29,M,40146,25976,882,D,rural,1
440,68,M,70032,28914,888,B,urban,1
441,40,F,57687,35067,353,B,rural,1
442,32,M,61103,47875,576,B,rural,1
443,45,M,36976,17942,410,C,urban,1
444,51,M,77863,24491,523,B,rural,1
445,19,M,15591,9533,374,C,suburban,0
446,49,M,21277,28583,805,D,rural,1
447,40,M,76860,42049,313,C,suburban,1
448,39,F,17260,32821,781,B,suburban,1
449,68,M,80883,35261,488,C,urban,1
450,42,M,39741,42536,663,B,urban,1
451,39,F,52211,34945,538,A,urban,1
452,39,M,56542,22384,700,A,urban,1
453,66,M,21869,33410,603,D,rural,1
454,69,F,108618,17198,390,A,urban,1
455,59,M,102616,34354,691,D,suburban,1
456,23,M,79732,12169,483,A,urban,1
457,32,M,109515,45129,316,B,urban,1
458,60,M,34422,36909,311,C,suburban,0
459,54,F,50613,8830,465,A,urban,1
460,50,F,72016,26404,445,C,rural,1
461,25,M,75110,32757,581,C,urban,1
462,61,F,103529,40650,848,B,urban,1
463,61,F,92922,38766,881,B,urban,1
464,22,M,49033,20942,468,A,urban,1
465,56,F,60213,37419,469,B,urban,1
466,21,M,76993,21668,645,A,urban,1
467,23,M,27938,21246,798,B,suburban,1
468,62,M,91695,29996,759,D,urban,1
469,49,M,17274,8065,596,B,urban,1
470,69,M,99390,15467,441,C,rural,1
471,47,F,46815,49844,994,B,urban,1
472,64,M,91018,26007,352,A,urban,1
473,52,M,33961,7543,417,B,suburban,1
474,57,M,35044,33702,664,C,suburban,1
475,69,F,114372,33833,970,A,suburban,1
476,33,F,36975,15033,435,D,rural,1
477,30,F,29706,39169,713,B,urban,1
478,67,F,20974,21829,376,A,urban,1
479,59,F,91464,9522,856,B,urban,1
480,47,M,36213,25151,317,B,rural,1
481,36,F,16950,40319,702,A,urban,1
482,34,F,100013,31543,504,C,suburban,1
483,36,F,25411,42584,798,D,suburban,1
484,45,F,102231,35473,623,C,urban,1
485,43,M,61156,12699,894,D,urban,1
486,54,M,77744,7629,861,D,urban,1
487,43,M,32771,45455,580,D,urban,1
488,40,F,84810,15156,465,A,urban,1
489,26,M,50053,22441,542,B,urban,1
490,29,M,67076,35716,778,A,suburban,1
491,18,F,22045,11834,463,B,rural,1
492,18,M,72623,23179,623,D,suburban,1
493,64,F,44714,31219,867,A,suburban,1
494,51,M,49386,42617,850,C,urban,1
495,49,M,23562,20782,939,C,urban,1
496,65,M,70048,20827,933,A,urban,1
497,42,F,108295,14431,997,A,urban,1
498,57,M,27026,41918,507,B,suburban,1
499,62,M,46589,49057,614,A,rural,1
500,18,F,112274,14496,603,B,urban,1
501,33,M,41844,28331,538,B,urban,1
502,56,F,38447,44238,523,B,urban,1
503,22,F,105415,28563,387,A,urban,1
504,39,M,92502,8712,836,B,suburban,1
505,46,F,98268,33531,728,A,suburban,1
506,20,M,69708,37664,519,D,suburban,1
507,29,F,78925,17420,574,B,suburban,1
508,43,M,85825,10315,946,D,urban,1
509,33,F,66574,10381,365,C,rural,1
510,68,M,100548,14497,891,C,suburban,1
511,54,F,33812,34040,722,B,urban,1
512,39,M,116337,37375,554,A,urban,1
513,46,M,70309,18494,424,B,rural,1
514,31,M,79230,36752,445,A,urban,1
515,45,M,56628,30357,914,D,suburban,1
516,22,F,55581,21950,684,B,urban,1
517,64,M,61628,20752,746,D,rural,1
518,66,F,103628,42390,686,C,suburban,1
519,47,F,40105,9132,682,A,suburban,1
520,63,F,94830,46598,576,C,rural,1
521,69,M,84157,33276,681,A,rural,1
522,22,M,47442,44763,423,A,rural,1
523,29,F,102235,25551,566,A,urban,1
524,33,M,17347,31975,410,D,urban,1
525,43,M,110022,7670,680,B,urban,1
526,43,F,62650,14364,900,C,urban,1
527,65,F,32110,31296,457,A,rural,1
528,38,F,77170,29680,847,B,rural,1
529,56,M,19923,23066,898,B,urban,1
530,53,F,66801,33892,417,B,urban,1
531,50,M,77771,15041,627,A,urban,1
532,47,M,96147,14054,993,B,urban,1
533,54,F,63135,16637,367,C,urban,1
534,40,M,34199,15757,733,A,suburban,1
535,27,M,24066,46258,658,D,suburban,1
536,22,M,116583,32484,970,A,rural,1
537,53,F,67136,17329,742,B,urban,1
538,51,F,107290,38538,463,A,urban,1
539,69,F,51575,32115,660,A,rural,1
540,48,F,104796,31038,884,D,urban,1
541,27,M,61733,41622,418,D,urban,1
542,36,M,31991,40886,494,C,urban,1
543,49,M,37553,14901,900,D,rural,1
544,18,M,104710,22374,887,D,suburban,1
545,22,M,102493,37806,950,C,rural,1
546,62,F,15634,22659,540,D,urban,0
547,21,M,110417,28453,808,B,suburban,1
548,33,M,27771,35498,965,B,suburban,1
549,41,M,33298,9857,864,C,urban,1
550,33,M,94876,21312,441,A,rural,1
551,19,F,113892,6436,330,D,suburban,1
552,66,M,50999,32569,522,A,rural,1
553,45,M,86887,29949,565,D,rural,1
554,49,F,74648,12693,581,B,urban,1
555,44,M,77668,42019,680,B,suburban,1
556,37,M,84374,14305,855,A,urban,1
557,41,M,82509,37646,361,D,suburban,1
558,29,F,118348,32302,820,A,suburban,1
559,67,F,90783,15590,370,C,suburban,1
560,52,F,59440,45430,901,C,urban,1
561,50,M,46655,8123,835,A,suburban,1
562,50,F,58039,9158,439,D,urban,1
563,68,M,70255,13700,615,A,urban,1
564,60,M,87219,15531,639,C,rural,1
565,54,M,69989,32738,889,B,urban,1
566,29,M,26244,14879,827,A,urban,1
567,20,F,109594,10543,840,A,urban,1
568,18,F,73595,47348,715,C,urban,1
569,50,F,54551,23581,766,D,urban,1
570,57,F,78230,41679,674,A,suburban,1
571,27,F,118898,18582,590,A,suburban,1
572,60,M,43371,48888,342,D,urban,1
573,61,M,84358,35276,352,A,urban,1
574,46,F,43878,43003,531,B,urban,1
575,30,M,51157,9799,511,B,suburban,1
576,29,F,20914,30091,307,A,urban,0
577,48,M,98700,33234,933,C,urban,1
578,63,M,42180,29605,782,D,urban,1
579,19,M,18688,41534,341,B,urban,1
580,68,M,95219,36668,632,C,suburban,1
581,67,M,93616,9111,532,C,urban,1
582,52,F,111489,29686,369,B,urban,1
583,40,M,24916,12015,315,A,urban,1
584,34,F,71363,11856,368,C,rural,1
585,43,M,110213,21490,352,B,suburban,1
586,25,M,42360,40194,984,A,urban,1
587,46,M,52805,19497,678,D,urban,1
588,43,F,28453,28194,762,C,rural,0
589,27,M,37703,49104,826,D,urban,1
590,43,F,74021,10316,978,A,rural,1
591,51,M,89176,43130,362,D,urban,1
592,68,F,109799,9693,560,C,urban,1
593,58,M,113385,46758,799,D,suburban,1
594,24,F,119582,34954,420,D,suburban,1
595,21,F,96614,26652,539,D,rural,1
596,67,F,103919,19178,764,D,rural,1
597,62,M,96072,48397,406,A,urban,1
598,28,M,22410,19751,479,C,suburban,1
599,46,M,96462,5425,315,A,rural,1
600,53,F,63268,8044,654,C,suburban,1
601,42,F,49248,16480,608,D,urban,1
602,38,F,46159,48874,888,A,urban,1
603,53,M,57039,43997,904,B,urban,1
604,27,M,116902,6239,480,C,rural,1
605,54,M,62800,11566,473,A,urban,1
606,26,F,55761,24775,653,A,urban,1
607,41,F,109626,41981,653,A,rural,1
608,52,F,101103,8006,518,A,urban,1
609,66,M,58663,12025,954,C,suburban,1
610,52,F,95903,24423,614,B,rural,1
611,65,F,55412,44326,733,A,urban,1
612,53,M,50367,30174,581,D,urban,1
613,35,F,20813,31663,558,C,urban,1
614,66,F,74894,38952,858,B,suburban,1
615,56,F,117157,32326,304,A,suburban,1
616,49,F,66444,36139,873,C,urban,1
617,41,M,49269,13102,895,B,urban,1
618,40,M,76748,12116,944,C,suburban,1
619,49,F,56190,17937,693,C,urban,1
620,54,M,55318,35161,635,A,suburban,1
621,29,F,52018,9383,362,D,suburban,1
622,66,F,54759,25320,343,B,suburban,1
623,30,F,31498,9507,452,B,rural,1
624,40,F,40989,19735,982,D,urban,1
625,42,M,117710,34713,455,B,urban,1
626,52,M,40568,21519,777,C,suburban,1
627,58,M,81577,7025,574,C,urban,1
628,47,M,45099,24919,657,A,suburban,1
629,34,M,104900,42622,725,D,rural,1
630,66,M,55639,43135,831,B,rural,1
631,37,F,119679,40658,782,B,suburban,1
632,65,F,38482,24141,513,D,rural,1
633,42,M,84212,34696,378,B,urban,1
634,39,M,70261,8773,438,C,urban,1
635,30,F,102317,29956,397,D,urban,1
636,36,M,45048,20819,963,A,urban,1
637,66,M,18065,6528,497,A,urban,1
638,53,M,17036,25955,455,A,rural,1
639,29,F,50814,49588,349,D,suburban,1
640,58,M,74694,10049,778,A,suburban,1
641,36,F,31924,38616,527,B,urban,0
642,29,M,75204,25511,756,A,urban,1
643,26,F,47844,15119,821,B,rural,1
644,24,M,96943,15357,448,C,suburban,1
645,45,M,36518,21167,357,D,suburban,1
646,31,F,32059,27253,461,B,rural,1
647,48,F,38052,39889,776,B,suburban,1
648,69,F,84803,34798,406,C,suburban,1
649,36,F,86524,9681,726,B,urban,1
650,64,F,108510,19755,694,D,urban,1
651,33,F,104572,5472,485,B,suburban,1
652,22,F,23680,37881,857,B,urban,1
653,52,M,82021,18690,745,D,suburban,1
